timestamp,temp_ampent,temp_object,pressure,humidity,gas_res,nh3_raw,co_raw,co2,Tvoc,no2_raw
,36.550,59.070,1006.000,43.687,481.000,25.000,20.000,8593,14783,25.000
,36.750,60.610,1006.000,44.074,451.000,23.000,19.000,5672,8577,27.000
,36.870,58.710,1006.000,44.201,554.000,23.000,19.000,10573,19024,22.000
,36.970,59.370,1006.000,45.176,569.000,16.000,16.000,5602,8431,4.000
,37.130,59.870,1006.000,46.553,587.000,25.000,19.000,2596,1981,23.000
,37.070,59.130,1006.000,40.559,600.000,17.000,17.000,3159,3187,23.000
,37.050,58.650,1006.000,44.066,666.000,21.000,17.000,2365,1492,23.000
,37.130,59.430,1006.000,48.813,587.000,23.000,21.000,2702,2208,25.000
,37.350,60.490,1006.000,50.124,690.000,23.000,17.000,2732,2296,21.000
,39.270,53.310,1006.000,41.719,878.000,6.000,0.000,2017,776,2.000
,39.210,53.670,1006.000,44.543,1203.000,1.000,0.000,1676,314,14.000
,39.250,53.930,1006.000,39.577,878.000,0.000,2.000,2114,948,4.000
,39.190,55.530,1006.000,35.146,736.000,5.000,4.000,1902,588,6.000
,39.230,54.250,1006.000,39.527,1100.000,5.000,1.000,2399,1567,5.000
,39.330,54.610,1006.000,39.812,955.000,7.000,1.000,1633,276,5.000
,39.310,54.030,1006.000,37.909,867.000,9.000,1.000,2370,1505,4.000
,39.070,52.690,1006.000,39.974,920.000,7.000,2.000,1772,417,6.000
,38.890,52.530,1006.000,38.956,1029.000,3.000,1.000,2090,901,1.000
,38.570,52.250,1006.000,45.276,677.000,2.000,0.000,2294,1347,3.000
,38.230,54.570,1006.000,38.363,679.000,6.000,2.000,1989,727,5.000
,38.110,54.430,1006.000,51.434,479.000,7.000,3.000,4196,5400,3.000
,38.330,56.630,1006.000,49.352,753.000,31.000,29.000,1915,609,33.000
,38.450,56.150,1006.000,41.221,1538.000,42.000,32.000,1564,218,37.000
,38.230,34.910,1006.000,28.305,2245.000,16.000,16.000,13436,25170,14.000
,38.130,64.830,1006.000,50.390,541.000,16.000,12.000,26093,29206,16.000
,38.970,70.730,1006.000,54.856,497.000,44.000,42.000,32768,29206,45.000
,39.730,68.030,1006.000,55.596,306.000,47.000,43.000,29531,29206,47.000
,41.170,57.770,1006.000,55.436,298.000,54.000,54.000,20161,29206,54.000
,41.090,66.230,1006.000,50.677,314.000,59.000,52.000,15814,29206,55.000
,41.630,65.730,1006.000,51.389,314.000,57.000,55.000,5336,7839,55.000
,41.870,63.850,1006.000,41.232,641.000,55.000,51.000,8216,13994,54.000
,41.830,63.630,1006.000,39.791,844.000,54.000,49.000,6929,11245,57.000
,42.290,63.230,1006.000,42.491,434.000,54.000,54.000,12329,22759,54.000
,42.290,64.310,1006.000,45.322,384.000,51.000,50.000,12672,23518,65.000
,42.730,64.630,1006.000,42.230,319.000,50.000,51.000,13860,26055,54.000
,43.550,65.990,1006.000,41.936,306.000,51.000,53.000,19244,29206,58.000
,44.170,64.410,1006.000,38.111,534.000,53.000,48.000,400,0,52.000
